id,kanji,reading,char,on,kun,strokes
916,行方,ゆくえ,行,コウ・ギョウ・アン,い.く・ゆ.く・-ゆ.き・-ゆき・-い.き・-いき・おこな.う・おこ.なう,6
916,行方,ゆくえ,方,ホウ,かた・-かた・-がた,4
917,湯気,ゆげ,湯,トウ,ゆ,12
917,湯気,ゆげ,気,キ・ケ,いき・き,6
918,輸血,ゆけつ,輸,ユ・シュ,,16
918,輸血,ゆけつ,血,ケツ,ち,6
919,輸送,ゆそう,輸,ユ・シュ,,16
919,輸送,ゆそう,送,ソウ,おく.る,9
920,油断,ゆだん,油,ユ・ユウ,あぶら,8
920,油断,ゆだん,断,ダン,た.つ・ことわ.る・さだ.める,11
921,湯飲み,ゆのみ,湯,トウ,ゆ,12
921,湯飲み,ゆのみ,飲,イン・オン,の.む・-の.み,12
922,溶岩,ようがん,溶,ヨウ,と.ける・と.かす・と.く,13
922,溶岩,ようがん,岩,ガン,いわ,8
923,用語,ようご,用,ヨウ,もち.いる,5
923,用語,ようご,語,ゴ,かた.る・かた.らう,14
924,要旨,ようし,要,ヨウ,い.る・かなめ,9
924,要旨,ようし,旨,シ,むね・うま.い,6
925,幼児,ようじ,幼,ヨウ,おさな.い,5
925,幼児,ようじ,児,ジ・ニ・ゲイ,こ・-こ・-っこ,7
926,容積,ようせき,容,ヨウ,い.れる,10
926,容積,ようせき,積,セキ,つ.む・-づ.み・つ.もる・つ.もり,16
927,幼稚,ようち,幼,ヨウ,おさな.い,5
927,幼稚,ようち,稚,チ・ジ,いとけない・おさない・おくて・おでる,13
928,幼稚園,ようちえん,幼,ヨウ,おさな.い,5
928,幼稚園,ようちえん,稚,チ・ジ,いとけない・おさない・おくて・おでる,13
928,幼稚園,ようちえん,園,エン,その,13
929,用途,ようと,用,ヨウ,もち.いる,5
929,用途,ようと,途,ト,みち,10
930,洋品店,ようひんてん,洋,ヨウ,,9
930,洋品店,ようひんてん,品,ヒン・ホン,しな,9
930,洋品店,ようひんてん,店,テン,みせ・たな,8
931,養分,ようぶん,養,ヨウ・リョウ,やしな.う,15
931,養分,ようぶん,分,ブン・フン・ブ,わ.ける・わ.け・わ.かれる・わ.かる・わ.かつ,4
932,羊毛,ようもう,羊,ヨウ,ひつじ,6
932,羊毛,ようもう,毛,モウ,け,4
933,要領,ようりょう,要,ヨウ,い.る・かなめ,9
933,要領,ようりょう,領,リョウ,えり,14
934,欲張り,よくばり,欲,ヨク,ほっ.する・ほ.しい,11
934,欲張り,よくばり,張,チョウ,は.る・-は.り・-ば.り,11
935,余所,よそ,余,ヨ,あま.る・あま.り・あま.す・あんま.り,7
935,余所,よそ,所,ショ,ところ・-ところ・どころ・とこ,8
936,四つ角,よつかど,四,シ,よ・よ.つ・よっ.つ・よん,5
936,四つ角,よつかど,角,カク,かど・つの,7
937,酔っ払い,よっぱらい,酔,スイ,よ.う・よ.い・よ,11
937,酔っ払い,よっぱらい,払,フツ・ヒツ・ホツ,はら.う・-はら.い・-ばら.い,5
938,予備,よび,予,ヨ・シャ,あらかじ.め,4
938,予備,よび,備,ビ,そな.える・そな.わる・つぶさ.に,12
939,来日,らいにち,来,ライ・タイ,く.る・きた.る・きた.す・き.たす・き.たる・き・こ,7
939,来日,らいにち,日,ニチ・ジツ,ひ・-び・-か,4
940,落第,らくだい,落,ラク,お.ちる・お.ち・お.とす,12
940,落第,らくだい,第,ダイ・テイ,,11
942,欄,らん,欄,ラン,てすり,20
945,乱暴,らんぼう,乱,ラン・ロン,みだ.れる・みだ.る・みだ.す・みだ・おさ.める・わた.る,7
945,乱暴,らんぼう,暴,ボウ・バク,あば.く・あば.れる,15
946,理科,りか,理,リ,ことわり,11
946,理科,りか,科,カ,,9
947,利害,りがい,利,リ,き.く,7
947,利害,りがい,害,ガイ,,10
948,段階,だんかい,段,ダン・タン,,9
948,段階,だんかい,階,カイ,きざはし,12
949,炭鉱,たんこう,炭,タン,すみ,9
949,炭鉱,たんこう,鉱,コウ,あらがね,13
950,短所,たんしょ,短,タン,みじか.い,12
950,短所,たんしょ,所,ショ,ところ・-ところ・どころ・とこ,8
51,職場,しょくば,職,ショク・ソク,,18
51,職場,しょくば,場,ジョウ・チョウ,ば,12
52,書籍,しょせき,書,ショ,か.く・-が.き・-がき,10
52,書籍,しょせき,籍,セキ,,20
53,食器,しょっき,食,ショク・ジキ,く.う・く.らう・た.べる・は.む,9
53,食器,しょっき,器,キ,うつわ,15
55,書店,しょてん,書,ショ,か.く・-が.き・-がき,10
55,書店,しょてん,店,テン,みせ・たな,8
56,書道,しょどう,書,ショ,か.く・-が.き・-がき,10
56,書道,しょどう,道,ドウ・トウ,みち・いう,12
57,初歩,しょほ,初,ショ,はじ.め・はじ.めて・はつ・はつ-・うい-・-そ.める・-ぞ.め,7
57,初歩,しょほ,歩,ホ・ブ・フ,ある.く・あゆ.む,8
58,白髪,しらが,白,ハク・ビャク,しろ・しら-・しろ.い,5
58,白髪,しらが,髪,ハツ,かみ,14
60,私立,しりつ,私,シ,わたくし・わたし,7
60,私立,しりつ,立,リツ・リュウ・リットル,た.つ・-た.つ・た.ち-・た.てる・-た.てる・た.て-・たて-・-た.て・-だ.て・-だ.てる,5
61,資料,しりょう,資,シ,,13
61,資料,しりょう,料,リョウ,,10
62,汁,しる,汁,ジュウ,しる・-しる・つゆ,5
63,素人,しろうと,素,ソ・ス,もと,10
63,素人,しろうと,人,ジン・ニン,ひと・-り・-と,2
64,芯,しん,芯,シン,,7
65,新幹線,しんかんせん,新,シン,あたら.しい・あら.た・あら-・にい-,13
65,新幹線,しんかんせん,幹,カン,みき,13
65,新幹線,しんかんせん,線,セン,すじ,15
66,真空,しんくう,真,シン,ま・ま-・まこと,10
66,真空,しんくう,空,クウ,そら・あ.く・あ.き・あ.ける・から・す.く・す.かす・むな.しい,8
67,人事,じんじ,人,ジン・ニン,ひと・-り・-と,2
67,人事,じんじ,事,ジ・ズ,こと・つか.う・つか.える,8
68,心身,しんしん,心,シン,こころ・-ごころ,4
68,心身,しんしん,身,シン,み,7
69,申請,しんせい,申,シン,もう.す・もう.し-・さる,5
69,申請,しんせい,請,セイ・シン・ショウ,こ.う・う.ける,15
70,人造,じんぞう,人,ジン・ニン,ひと・-り・-と,2
70,人造,じんぞう,造,ゾウ,つく.る・つく.り・-づく.り,10
71,寝台,しんだい,寝,シン,ね.る・ね.かす・い.ぬ・みたまや・や.める,13
71,寝台,しんだい,台,ダイ・タイ,うてな・われ・つかさ,5
72,診断,しんだん,診,シン,み.る,12
72,診断,しんだん,断,ダン,た.つ・ことわ.る・さだ.める,11
73,侵入,しんにゅう,侵,シン,おか.す,9
73,侵入,しんにゅう,入,ニュウ・ジュ,い.る・-い.る・-い.り・い.れる・-い.れ・はい.る,2
74,人文科学,じんぶんかがく,人,ジン・ニン,ひと・-り・-と,2
74,人文科学,じんぶんかがく,文,ブン・モン,ふみ・あや,4
74,人文科学,じんぶんかがく,科,カ,,9
74,人文科学,じんぶんかがく,学,ガク,まな.ぶ,8
75,人命,じんめい,人,ジン・ニン,ひと・-り・-と,2
75,人命,じんめい,命,メイ・ミョウ,いのち,8
76,深夜,しんや,深,シン,ふか.い・-ぶか.い・ふか.まる・ふか.める・み-,11
76,深夜,しんや,夜,ヤ,よ・よる,8
77,森林,しんりん,森,シン,もり,12
77,森林,しんりん,林,リン,はやし,8
78,親類,しんるい,親,シン,おや・おや-・した.しい・した.しむ,16
78,親類,しんるい,類,ルイ,たぐ.い,18
79,針路,しんろ,針,シン,はり,10
79,針路,しんろ,路,ロ・ル,-じ・みち,13
80,神話,しんわ,神,シン・ジン,かみ・かん-・こう-,9
80,神話,しんわ,話,ワ,はな.す・はなし,13
81,水産,すいさん,水,スイ,みず・みず-,4
81,水産,すいさん,産,サン,う.む・う.まれる・うぶ-・む.す,11
82,炊事,すいじ,炊,スイ,た.く・-だ.き,8
